Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034377~plasma lipoprotein particle assembly	6	13.636363636363635	7.005571905426345E-10	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	19	16650	128.2413350449294	1.103376931044231E-6	1.103376931044231E-6	1.170869867728186E-6
GOTERM_BP_FAT	GO:0065005~protein-lipid complex assembly	6	13.636363636363635	1.2216823871244865E-9	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	21	16650	116.02787456445994	1.9241479645160098E-6	9.620744449989616E-7	2.0418478241523985E-6
GOTERM_BP_FAT	GO:0006869~lipid transport	11	25.0	2.382524956489902E-9	205892_S_AT, 224411_AT, 205216_S_AT, 204416_X_AT, 204450_X_AT, 214910_S_AT, 219465_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 205682_X_AT, 230830_AT, 231009_AT, 230971_X_AT, 205675_AT, 205108_S_AT, 223579_S_AT, 217073_X_AT	41	312	16650	14.317542213883678	3.7524697682478347E-6	1.2508248206088979E-6	3.9820114317024036E-6
GOTERM_BP_FAT	GO:0010876~lipid localization	11	25.0	5.750504487930917E-9	205892_S_AT, 224411_AT, 205216_S_AT, 204416_X_AT, 204450_X_AT, 214910_S_AT, 219465_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 205682_X_AT, 230830_AT, 231009_AT, 230971_X_AT, 205675_AT, 205108_S_AT, 223579_S_AT, 217073_X_AT	41	342	16650	13.061617458279848	9.057003625412285E-6	2.2642585966181628E-6	9.611053197744468E-6
GOTERM_BP_FAT	GO:0071827~plasma lipoprotein particle organization	6	13.636363636363635	1.6328932598881746E-8	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	34	16650	71.66427546628407	2.5717738427744052E-5	5.1436005985561195E-6	2.7291210169533286E-5
GOTERM_BP_FAT	GO:0071825~protein-lipid complex subunit organization	6	13.636363636363635	2.2045604192476644E-8	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	36	16650	67.68292682926828	3.4721224250966465E-5	5.786954429987112E-6	3.684571454609653E-5
GOTERM_BP_FAT	GO:0051346~negative regulation of hydrolase activity	11	25.0	2.610887321028937E-8	205892_S_AT, 220626_AT, 205506_AT, 230318_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 213553_X_AT, 219466_S_AT, 204551_S_AT, 228912_AT, 243243_AT, 217073_X_AT, 209220_AT	41	401	16650	11.139833343470592	4.112063031047608E-5	5.87447928612761E-6	4.3636819724302E-5
GOTERM_BP_FAT	GO:0006641~triglyceride metabolic process	7	15.909090909090908	1.5660033320407856E-7	205892_S_AT, 205216_S_AT, 205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	103	16650	27.59886336727445	2.46615129679717E-4	3.0830217762956025E-5	2.617322263809285E-4
GOTERM_BP_FAT	GO:0002576~platelet degranulation	7	15.909090909090908	1.9655014848016162E-7	214064_AT, 205216_S_AT, 230318_AT, 203400_S_AT, 204450_X_AT, 210929_S_AT, 205649_S_AT, 206054_AT, 214063_S_AT, 217073_X_AT, 205650_S_AT, 204551_S_AT	41	107	16650	26.567130157282886	3.0951860352534943E-4	3.43956878208207E-5	3.285018029264286E-4
GOTERM_BP_FAT	GO:0097006~regulation of plasma lipoprotein particle levels	6	13.636363636363635	2.156742894952916E-7	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	56	16650	43.51045296167247	3.396293555429919E-4	3.3968127335581855E-5	3.604646593102778E-4
GOTERM_BP_FAT	GO:0034369~plasma lipoprotein particle remodeling	5	11.363636363636363	2.93049936121742E-7	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	24	16650	84.60365853658536	4.614472174482298E-4	4.1958548531728646E-5	4.897852283858306E-4
