""	"V1"
"Tcell"	"T_cell,T cell,T cells,CD4 cells,Treg,t_cell,Effector memory,Central memory,Naive, donor"
"Bcell"	"B-cells,B cells,B cell"
"Mono_Macro"	"cell type: Monocyte,monocytes,monopcytes,Peripheral blood from healthy human donor,macrophages,Macrophages"
"Erythroblast"	"Erythroblast"
"BM_HSC"	"Bone marrow & progenitors,Myelocytes,MEP cells,GMP cells,CMP cells,HSC,Human composite bone marrow,peripheral blood, prior"
"Neutrophils"	"Neutrophils,neutrophils,PMN"
"Gametes"	"Sperm,Oocytes,oocytes"
"Centrocytes"	"centrocyte,centroblast"
"NKcells"	"NK cells,Natural killer cells,Natural Killer cells "
"Dendritic_cells"	"Dendritic cells,dendritic cells,MDDC,DCs,Dcs"
"MSC"	"-defrived mesenchymal stem cells,BM MSC,BM-MSC,cell type: mesenchymal stem cells,derived mesenchymal stem cells"
"Plt"	"platelet"
"SMC"	"smooth muscle cells,Smooth Muscle Cells,SMCs,smooth muscle cell"
"Neuron"	"Nerve,astrocytes"
"Endocrine"	"adrenal medulla"
"Keratinocytes"	"keratinocytes"
"Hepatocytes"	"hepatocyte"
"Bone_etc"	"osteoblast,chondrocyte,DPSCs"
"Adipocytes"	"adipocyte,adipose stem cell"
"Vascular"	"lymphatic endothelial cells,HUVEC,Vein ECs,blood vessel endothelial cell,HMVEC,cell type: Endothelial cells"
"Fibroblasts"	"Foreskin Cells,normal fibroblast,cell type: fibroblast,Human Fibroblast cells,PDB fibroblasts,fibroblasts_,Fibroblasts uninfected,Fibroblasts infected"
"Epitel"	"bronchial epithelial cells"
"Bladder"	"bladder"
"ES_iPS"	"ESC,ES cell,Human Embryonic Stem Cells,embryonic stem cells,iPS,hIPSC"
